Team Name,Team Number,Match 1,Match 2,Match 3,Top Score
Concourse Calming Crew,1,305,335,255,335
Rector Cougars,2,145,245,/,245
Rock City Robots,3,285,270,315,315
Whatchamacallits,4,190,185,/,190
The MindSweepers,5,430,390,415,430
Robo Rebels,6,295,255,110,295
Lego Nation,7,200,220,210,220
Big Brain Bros,8,335,350,/,350
Warriorbots,9,160,245,155,245
CrossBots,10,330,265,310,330
Bosses of Haas,11,245,180,215,245
Gardner Gearheads,12,240,80,135,240
Orion,13,115,165,170,170
Flame,14,115,315,260,315
Herobotics,15,70,335,370,370
C.H.A.D. HogBots,16,265,205,/,265
Hackett Highflyers,17,320,305,/,320
TechNOlogic,18,285,250,/,285
RoboCats!,19,290,275,350,350
Unique Geeks,20,250,300,/,300
Pixel Snakes,21,310,320,260,320
Pinkston Robotics,22,400,285,235,400
Ramsey R.O.V.E.Rs,23,200,275,255,275
Helpful Hogs,24,300,360,/,360
Ballman Bears,25,255,135,240,255
Barling Bobcats,26,215,205,/,215
Spradling Eagles,27,165,190,130,190
Tilles Tigers,28,265,265,270,270
Blue Raptors,29,195,220,205,220
Chaffin,30,215,215,115,215
Warriorbots 2.0,31,175,80,240,240
BZBot,32,210,245,/,245
