Team Name,Team Number,Match 1,Match 2,Match 3,Top Score
Concourse Calming Crew,1,305,/,/,305
Rector Cougars,2,145,/,/,145
Rock City Robots,3,285,/,/,285
Whatchamacallits,4,190,/,/,190
The MindSweepers,5,430,/,/,430
Robo Rebels,6,295,/,/,295
Lego Nation,7,200,/,/,200
Big Brain Bros,8,/,/,/,0
Warriorbots,9,160,/,/,160
CrossBots,10,330,/,/,330
Bosses of Haas,11,245,/,/,245
Gardner Gearheads,12,240,/,/,240
Orion,13,115,/,/,115
Flame,14,115,/,/,115
Herobotics,15,70,/,/,70
C.H.A.D. HogBots,16,265,/,/,265
Hackett Highflyers,17,/,/,/,0
TechNOlogic,18,/,/,/,0
RoboCats!,19,290,/,/,290
Unique Geeks,20,250,/,/,250
Pixel Snakes,21,310,/,/,310
Pinkston Robotics,22,400,/,/,400
Ramsey R.O.V.E.Rs,23,200,/,/,200
Helpful Hogs,24,300,/,/,300
Ballman Bears,25,255,/,/,255
Barling Bobcats,26,/,/,/,0
Spradling Eagles,27,165,/,/,165
Tilles Tigers,28,265,/,/,265
Blue Raptors,29,195,/,/,195
Chaffin,30,215,/,/,215
Warriorbots 2.0,31,175,/,/,175
BZBot,32,/,/,/,0
